epoch,participant,event_trigger_height,pass_models,qwen_result,kimi_result,stored_confirmation_ratio,old_formula_matches_stored,new_algorithm_would_pass_alpha,loss_gonka,technical_status,eligibility_decision,reason
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4073650,Kimi,no_submission,pass_weight,0.3504465126629466,True,False,1953.032509538,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,4073650,Kimi,no_submission,pass_weight,0.0273911017624090,True,False,1915.652591432,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4073650,Qwen,pass_weight,no_submission,0.1477168586521700,True,False,4850.385431974,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,4075202,Kimi,no_submission,pass_weight,0.0600139652935296,True,False,2019.930762224,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,4075202,Kimi,no_submission,pass_weight,0.4925233696717163,True,False,2019.930762224,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,4075202,Kimi,no_submission,pass_weight,0.3981892270054329,True,False,1970.264959744,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,4102890,Qwen,pass_weight,no_submission,0.2070382476844176,True,False,335.927643572,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
268,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4144898,Kimi,no_submission,pass_weight,0.1738374588419373,True,False,25309.087745610,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,4164861,Kimi,no_submission,pass_weight,0.4513926569961960,True,False,2228.595538500,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,4153434,Qwen,pass_weight,no_submission,0.4589917046641561,True,False,535.800580255,formula_reconciled_policy_required,committee_policy_required,The chain formula is reproducible and still below alpha in bounded v0.2.13-style replay; payout depends on single-model policy.
