address,source_models,source_kimi_commit_count,source_qwen_commit_count,raw_commit_rows,raw_commit_count_sum,raw_commit_has_model_id,source_commit_exact_match_rows,raw_commit_exact_match_rows,raw_validation_rows,raw_positive_validation_rows,raw_negative_validation_rows,in_final_group,final_weight,final_confirmation_weight,in_performance_summary,actual_rewards_ngonka,in_excluded_participants_266,excluded_reason,source_excluded_operator,source_nonce_compensation_gonka,source_delegator,classification,status
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8+moonshotai/Kimi-K2.6,153408,59296,2,212704,False,2,2,28,28,0,True,16888,19868,True,14350368017242,False,,False,42339.8862,False,in_final_group_rewarded_reconstruction_top_up,policy_required_not_exclusion_victim
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,89984,0,1,89984,False,1,1,17,17,0,False,,,False,0,False,,True,29956.2563,False,source_excluded_operator_confirmed_absent_from_final_group,confirmed_for_submission_and_absence_policy_for_compensation
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8+moonshotai/Kimi-K2.6,85632,4480,2,90112,False,2,2,26,26,0,True,2528,2973,True,2148136567242,False,,False,26783.8997,False,in_final_group_rewarded_reconstruction_top_up,policy_required_not_exclusion_victim
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,moonshotai/Kimi-K2.6,57532,0,1,57532,False,1,1,9,9,0,True,282,331,True,239625993655,False,,False,18913.1494,False,in_final_group_rewarded_reconstruction_top_up,policy_required_not_exclusion_victim
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,55552,0,1,55552,False,1,1,17,17,0,False,,,False,0,False,,True,18493.6205,False,source_excluded_operator_confirmed_absent_from_final_group,confirmed_for_submission_and_absence_policy_for_compensation
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,moonshotai/Kimi-K2.6,50880,0,1,50880,False,1,1,17,17,0,True,6908,8127,True,5869987107005,False,,False,11068.2944,False,in_final_group_rewarded_reconstruction_top_up,policy_required_not_exclusion_victim
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,moonshotai/Kimi-K2.6,25664,0,1,25664,False,1,1,17,17,0,False,,,False,0,False,,True,8543.7118,False,source_excluded_operator_confirmed_absent_from_final_group,confirmed_for_submission_and_absence_policy_for_compensation
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,moonshotai/Kimi-K2.6,22272,0,1,22272,False,1,1,17,17,0,True,2009,0,True,0,True,failed_confirmation_poc,False,7414.4930,False,in_final_group_zero_reward_reconstruction_candidate,needs_cause_policy
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,moonshotai/Kimi-K2.6,12896,0,1,12896,False,1,1,17,17,0,False,,,False,0,False,,True,4293.1619,False,source_excluded_operator_confirmed_absent_from_final_group,confirmed_for_submission_and_absence_policy_for_compensation
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,moonshotai/Kimi-K2.6,12384,0,1,12384,False,1,1,17,17,0,False,,,False,0,False,,True,4122.7138,False,source_excluded_operator_confirmed_absent_from_final_group,confirmed_for_submission_and_absence_policy_for_compensation
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8+moonshotai/Kimi-K2.6,6432,4096,2,10528,False,2,2,17,17,0,True,1538,0,True,0,True,failed_confirmation_poc,False,2529.4500,False,in_final_group_zero_reward_reconstruction_candidate,needs_cause_policy
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,moonshotai/Kimi-K2.6,6496,0,1,6496,False,1,1,17,17,0,False,,,False,0,False,,True,2162.5605,False,source_excluded_operator_confirmed_absent_from_final_group,confirmed_for_submission_and_absence_policy_for_compensation
