case_track,epochs,affected,amount_gonka,status_group,current_local_position,overlap_notes
P2-C01 Inactive status mid-epoch,247,9 claimed participants,0,rejected,Rejected in Proposal #2 preparation,No payout
P2-C02 Preserver weight double-scaling,n/a,34 participant/node pairs,30318.50,accepted_compensated,Accepted / compensated in Proposal #2,Historical tracker amount
P2-C03 Epoch loss restitution,n/a,subpackage-based,217612.83,accepted_compensated,Accepted / compensated in Proposal #2,Do not use for deduped address count
P2-C04 API startup blocking,n/a,14 addresses,58375.96,accepted_compensated,Accepted / compensated in Proposal #2,Historical tracker amount
P3-CAND-01 Devshard / high miss rate,272,6 confirmed addresses; 1 manual-review row,35040.581153560,pending_estimate,Current calculation repo reports this confirmed-six amount; devshard/root-cause validation still required,Current repo also reports 35109.923355683 GONKA if the manual-review row is included
P3-CAND-02 Negative coin balance / settle-drop,1..274,19 miners,1075.336150923,local_validated_recommended,Coordinator validated; inclusion decision still required,Exact independent archive match
P3-CAND-03 strict Case 3 Kimi cPoC shortfall,267,1 address,10262.057515369,local_validated_recommended,Independently validated,Same claimant also has an epoch 265 Case-3-like row
P3-CAND-03-EXT Case 3 same-address epoch 265 extension,265,1 address,20896.527179100,local_validated_recommended,Recommended to include with Case 3 as the same Kimi cPoC failure class,Same amount/class appears inside P4 e265 source package; do not double pay
P3-CAND-03-TOTAL Case 3 recommended total,"265,267",1 address / 2 rows,31158.584694469,local_validated_recommended,Working recommended Case 3 amount after adding epoch 265,This is P3-CAND-03 + P3-CAND-03-EXT; do not sum all three rows together
P3-CAND-04 UpgradeProtectionWindow / cPoC misfire,276,19 miners,32429.966254822,pending_estimate,Current calculation repo reports this amount; older local validation matched previous published CSV total 36209.451291351 GONKA and the new source amount requires revalidation,Same-address overlap exists with P4 epoch 276; reconcile before any P4 payout
P3-CAND-05 ml3 hardware re-registration,263..283 focus 269,1 known claimant,0,scope_required,No compensable on-chain loss or formula established,Keep as observation/scope item unless committee defines off-chain evidence and formula
P3-CAND-06 Pre-fix confirmation accounting candidates,262..276,19 unique participants / 24 rows,120822.324371792,pending_estimate,Gross candidate set only; eligibility and overlap review required,Includes epoch 276 rows that must be reconciled with Case 4
P4-CAND-01 source aggregate Kimi restitution,265..276,53 unique addresses,946509.925002,disputed_not_aggregate,Do not approve as one aggregate payout. Split into tracks,Mixes direct cPoC; e266 nonce/delegation; rewarded top-ups; and GroupCap
P4-e265 source cPoC / attack-attributed rows,265,3 rows,30592.104861828,disputed_not_aggregate,Mixed scope: only the gonka1j7 row belongs with Case 3 under current local recommendation,Case 3 part is 20896.527179100; other e265 rows remain separate/unconfirmed for strict Case 3
P4-e266 nonce + delegation source package,266,27 rows / 26 unique addresses,188698.468968749,pending_estimate,Chain facts partly confirmed; compensability must be split by sub-track,"Contains 9 absent operators, 5 zero-reward rows, 4 rewarded top-up rows, 9 delegation rows"
P4-GroupCap-source source top-up model,267..276,source rows,727219.351170981,disputed_not_aggregate,Reproducible model; compensability and denominator are policy choices,Options also include alternate denominator models or rejection
P4-GroupCap-all-confirmation alternate denominator model,267..276,source rows,503653.983658046,disputed_not_aggregate,Alternative model for committee comparison; not a recommendation yet,Do not combine with source top-up model
P4-GroupCap-replace-affected alternate denominator model,267..276,source rows,360858.547914700,disputed_not_aggregate,Alternative model for committee comparison; not a recommendation yet,Do not combine with source top-up model
