epoch,participant,event_trigger_height,exclusion_height,pass_models,qwen_pass_weight,kimi_pass_weight,stored_ratio_percent,old_formula_matches_stored,bounded_new_algorithm_would_pass_alpha,technical_status,overlap_status_reference_only,gross_compensation_gonka,calculation_scope,note
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4073650,4073931,Kimi,False,True,35.0447%,True,False,formula_reconciled_policy_required,no_known_overlap_in_local_repo,1953.032509538,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,4073650,4073931,Kimi,False,True,2.7391%,True,False,formula_reconciled_policy_required,no_known_overlap_in_local_repo,1915.652591432,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4073650,4073931,Qwen,True,False,14.7717%,True,False,formula_reconciled_policy_required,no_known_overlap_in_local_repo,4850.385431974,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,4075202,4075483,Kimi,False,True,6.0014%,True,False,formula_reconciled_policy_required,no_known_overlap_in_local_repo,2019.930762224,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,4075202,4075483,Kimi,False,True,49.2523%,True,False,formula_reconciled_policy_required,no_known_overlap_in_local_repo,2019.930762224,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,4075202,4075483,Kimi,False,True,39.8189%,True,False,formula_reconciled_policy_required,no_known_overlap_in_local_repo,1970.264959744,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,4102890,4103171,Qwen,True,False,20.7038%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,335.927643572,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
268,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4144898,4145179,Kimi,False,True,17.3837%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,25309.087745610,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,4164861,4165142,Kimi,False,True,45.1393%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,2228.595538500,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,4153434,4153715,Qwen,True,False,45.8992%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,535.800580255,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
271,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,4184386,4184667,Qwen,True,False,33.0943%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,139.200061369,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
272,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4202293,4202574,Qwen,True,False,28.7372%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,365.340258948,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
272,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,4202293,4202574,Qwen,True,False,19.6229%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,146.964070171,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4209686,4209967,Kimi,False,True,40.2573%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,22521.036302544,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,4202293,4202574,Qwen,True,False,19.0604%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,8037.485696859,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
273,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4215427,4215708,Qwen,True,False,49.0130%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,218.861247867,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
273,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,4215427,4215708,Qwen,True,False,31.5761%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,3018.788733411,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
274,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4231815,4232096,Qwen,True,False,29.0542%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,137.269776102,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
274,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,4232787,4233068,Qwen,True,False,30.4095%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,173.159717563,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
275,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4258197,4258478,Qwen,True,False,33.4816%,True,False,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,126.220428182,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,4267778,4268059,Qwen+Kimi,True,True,35.2638%,False,False,blocked_epoch276_overlap,known_p3_cand_04_same_address,17356.095656742,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
276,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,4264130,4264411,Kimi,False,True,37.1301%,False,False,blocked_epoch276_overlap,p3_cand_04_epoch_overlap_unresolved,11765.489995489,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
276,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,4265965,4266246,Qwen,True,False,16.9861%,True,False,blocked_epoch276_overlap,p3_cand_04_epoch_overlap_unresolved,3557.528990032,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
276,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4264130,4264411,Kimi,False,True,36.3655%,True,False,blocked_epoch276_overlap,p3_cand_04_epoch_overlap_unresolved,10120.274911440,included_before_overlap_review,Gross candidate amount; do not treat as approved payout until policy and overlap review are complete.
